capacity_percent,students_to_review_in_shandong,coverage_recall_of_full_score_screen_positive,theoretical_max_recall_given_capacity,percent_of_theoretical_max,positive_rate_in_reviewed_group,lift_over_base_rate
5,177,0.25106990014265335,0.2524964336661912,0.9943502824858756,0.9943502824858758,5.021398002853068
10,354,0.4978601997146933,0.5049928673323824,0.9858757062146892,0.9858757062146892,4.978601997146933
15,531,0.7047075606276747,0.7574893009985735,0.9303201506591336,0.9303201506591338,4.698050404184499
20,708,0.8887303851640513,1.0,0.8887303851640513,0.8799435028248588,4.443651925820257
25,885,0.9814550641940085,1.0,0.9814550641940085,0.7774011299435029,3.9258202567760345
30,1062,0.9942938659058488,1.0,0.9942938659058488,0.6563088512241054,3.314312886352829
