analysis,method,item_count,selected_items,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
LASSO/L1 ranking,LASSO/L1 ranking,5,"S61,S9,S28,S2,S34",3540,701,0.1980225988700565,0.9597497963710072,0.86111016783264,0.0637403128967984,-0.17304485372903639,1.0281242013346987,0.7232524964336662,0.9517435716801691,0.7872670807453416,0.9330110497237569,0.18192090395480226,0.46807542636508553,0.24679029957203993,0.9774011299435028,4.935805991440799,0.47218259629101283,0.9350282485875706,4.7218259629101285,0.6476462196861626,0.8549905838041432,4.317641464574418,0.7631954350927247,0.7556497175141242,3.8159771754636234,0.8388017118402282,0.6644067796610169,3.355206847360913,0.9514978601997147,0.628060263653484,3.171659533999049
LASSO/L1 ranking,LASSO/L1 ranking,10,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26",3540,701,0.1980225988700565,0.9786019971469329,0.9196551351931976,0.04873203466293805,0.20739007773811538,1.115617829345965,0.7617689015691869,0.9661852765058119,0.8476190476190476,0.9426116838487972,0.17796610169491525,0.4521186834231742,0.2524964336661912,1.0,5.049928673323823,0.49072753209700426,0.9717514124293786,4.907275320970043,0.6833095577746077,0.9020715630885122,4.555397051830718,0.8174037089871612,0.809322033898305,4.087018544935805,0.9472182596291013,0.7502824858757062,3.7888730385164053,0.9828815977175464,0.6487758945386064,3.276271992391821
LASSO/L1 ranking,LASSO/L1 ranking,15,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46",3540,701,0.1980225988700565,0.9879649109936542,0.9493304542145464,0.04008493010423536,0.7265654234640776,1.1817779199702334,0.7717546362339515,0.9792180345191969,0.9016666666666666,0.9455782312925171,0.1694915254237288,0.44246764723300297,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.7047075606276747,0.9303201506591338,4.698050404184499,0.8887303851640513,0.8799435028248588,4.443651925820257,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9942938659058488,0.6563088512241054,3.314312886352829
LASSO/L1 ranking,LASSO/L1 ranking,20,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46,S88,S18,S57,S70,S25",3540,701,0.1980225988700565,0.9912669416558341,0.9643395588829782,0.03154409945732166,0.4071657535922913,1.1328933756751027,0.8887303851640513,0.9771046143008102,0.9055232558139535,0.9726507713884993,0.1943502824858757,0.4471023726411767,0.2524964336661912,1.0,5.049928673323823,0.5021398002853067,0.9943502824858758,5.021398002853068,0.717546362339515,0.9472693032015066,4.783642415596766,0.9001426533523538,0.8912429378531074,4.500713266761769,0.9900142653352354,0.784180790960452,3.9600570613409416,0.9985734664764622,0.6591337099811676,3.328578221588207
LASSO/L1 ranking,LASSO/L1 ranking,30,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46,S88,S18,S57,S70,S25,S79,S72,S29,S21,S66,S42,S65,S55,S6,S44",3540,701,0.1980225988700565,0.997028850748616,0.9876882878510391,0.01640041312778589,-0.007630658751611021,1.1563968729880274,0.9400855920114123,0.9855582951743571,0.9414285714285714,0.9852112676056338,0.1977401129943503,0.5306148580668633,0.2524964336661912,1.0,5.049928673323823,0.5035663338088445,0.9971751412429378,5.035663338088445,0.746077032810271,0.9849340866290018,4.973846885401807,0.9472182596291013,0.9378531073446328,4.736091298145507,0.9957203994293866,0.7887005649717514,3.9828815977175465,1.0,0.660075329566855,3.3333333333333335
Correlation ranking,Correlation ranking,5,"S30,S31,S71,S79,S26",3540,701,0.1980225988700565,0.974770103997761,0.9087414167229269,0.051790005720784064,-0.6739344719043596,1.4007672151344748,0.920114122681883,0.9147587178584008,0.7271702367531003,0.978891820580475,0.2505649717514124,0.4269359801113461,0.24964336661911554,0.9887005649717514,4.992867332382311,0.48216833095577744,0.9548022598870056,4.821683309557774,0.6804564907275321,0.8983050847457628,4.536376604850214,0.8459343794579173,0.8375706214689266,4.229671897289586,0.920114122681883,0.7288135593220338,3.680456490727532,0.9643366619115549,0.6365348399246704,3.214455539705183
Correlation ranking,Correlation ranking,10,"S30,S31,S71,S79,S26,S57,S69,S78,S28,S34",3540,701,0.1980225988700565,0.9865818417708513,0.9462778126460294,0.0387131639564756,-0.744244451157334,1.247730717112426,0.948644793152639,0.9380063402606552,0.7907253269916765,0.9866617265653946,0.23757062146892655,0.4175550442501108,0.2524964336661912,1.0,5.049928673323823,0.4964336661911555,0.9830508474576272,4.964336661911555,0.6975748930099858,0.9209039548022598,4.650499286733238,0.884450784593438,0.8757062146892656,4.42225392296719,0.9629101283880172,0.7627118644067796,3.8516405135520686,0.992867332382311,0.655367231638418,3.309557774607703
Correlation ranking,Correlation ranking,15,"S30,S31,S71,S79,S26,S57,S69,S78,S28,S34,S50,S2,S54,S80,S41",3540,701,0.1980225988700565,0.9896997144420566,0.957850084830968,0.032941219815966656,-0.5922338756880475,1.2340161965534846,0.9457917261055635,0.9563226488200071,0.8424396442185514,0.9861968761351253,0.22231638418079097,0.46890473457315274,0.2524964336661912,1.0,5.049928673323823,0.4992867332382311,0.9887005649717514,4.992867332382311,0.7104136947218259,0.9378531073446328,4.736091298145507,0.9072753209700428,0.8983050847457628,4.536376604850214,0.9743223965763196,0.7717514124293785,3.8972895863052783,0.9971469329529244,0.6581920903954802,3.3238231098430813
Correlation ranking,Correlation ranking,20,"S30,S31,S71,S79,S26,S57,S69,S78,S28,S34,S50,S2,S54,S80,S41,S62,S56,S36,S33,S11",3540,701,0.1980225988700565,0.9933793569192906,0.9734961405621643,0.02746851519928077,-0.8294969724597321,1.2992409924767476,0.9629101283880172,0.9630151461782318,0.8653846153846154,0.9905797101449275,0.22033898305084745,0.4785306373420884,0.2524964336661912,1.0,5.049928673323823,0.5021398002853067,0.9943502824858758,5.021398002853068,0.7303851640513552,0.9642184557438794,4.869234427009035,0.9215406562054208,0.9124293785310734,4.607703281027104,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9985734664764622,0.6591337099811676,3.328578221588207
Correlation ranking,Correlation ranking,30,"S30,S31,S71,S79,S26,S57,S69,S78,S28,S34,S50,S2,S54,S80,S41,S62,S56,S36,S33,S11,S87,S61,S37,S18,S77,S68,S90,S55,S29,S14",3540,701,0.1980225988700565,0.9956204064138233,0.9816910544589115,0.02019170974424126,-0.3239033465367713,1.1968672498265718,0.9472182596291013,0.9809792180345192,0.924791086350975,0.986888731396173,0.20282485875706216,0.5305383437464143,0.2524964336661912,1.0,5.049928673323823,0.5021398002853067,0.9943502824858758,5.021398002853068,0.7417974322396577,0.9792843691148776,4.945316214931051,0.9429386590584878,0.9336158192090396,4.71469329529244,0.992867332382311,0.7864406779661017,3.9714693295292443,0.9985734664764622,0.6591337099811676,3.328578221588207
