sample,n,gender_code_1_n,gender_code_1_percent,gender_code_2_n,gender_code_2_percent,screen_positive_n,screen_positive_percent,total_mean,total_sd,all_same_n,all_zero_n,duplicate_item_pattern_n
Overall,14371,8069,56.1477976480412,6302,43.85220235195881,2908,20.235195880592862,132.04982255932086,42.104096342438325,759,726,1203
Mapped Hunan code group,10831,7284,67.25140799556829,3547,32.74859200443173,2207,20.376696519250302,133.4020866032684,40.15067410290986,276,266,517
Mapped Shandong code group,3540,785,22.175141242937855,2755,77.82485875706215,701,19.80225988700565,127.91242937853107,47.35231902763682,483,460,686
