item,importance
S61,0.4198945782609053
S9,0.3562477046814303
S28,0.355860158515408
S2,0.3476720314909022
S34,0.3351754416900128
S10,0.328989208053451
S85,0.3248373317096797
S41,0.3224464128579799
S51,0.3160840143871558
S26,0.3143172958608236
S30,0.3114371221816155
S31,0.3104596781812641
S68,0.3093274288198906
S84,0.3075176780210779
S46,0.3069838856744803
S88,0.2942948379244123
S18,0.292140007098206
S57,0.2878273545535395
S70,0.2844598826780399
S25,0.2817029891915358
S79,0.2793781849783254
S72,0.277282137057077
S29,0.2739543577851964
S21,0.2726463897393805
S66,0.2720852798598329
S42,0.2705337519359447
S65,0.2673279815439371
S55,0.2659398497283435
S6,0.2606720094549523
S44,0.2603221425869417
S40,0.2542743237807138
S38,0.2502643268809166
S82,0.2446933082094736
S19,0.2436796688121761
S86,0.2327666867632547
S77,0.23202338944149
S45,0.2280726522420026
S62,0.2276498442329124
S59,0.2234623356631435
S5,0.2208321988766962
S54,0.2171989076912424
S14,0.216648190709221
S56,0.2162998030069549
S23,0.2161696453930116
S76,0.2157536010036926
S1,0.2097084901760789
S43,0.2084082467674456
S90,0.2030077192735705
S63,0.2023147920920797
S32,0.2015745699611671
S11,0.1996786779249151
S73,0.1995408458281734
S36,0.1991082835703176
S87,0.1986032133720141
S71,0.1983749165987574
S78,0.1965610097279427
S83,0.1958927146124837
S7,0.1932537881110207
S75,0.1907649893818866
S33,0.1900555791608766
S47,0.188315337365799
S24,0.1878108984282655
S3,0.183208775923504
S60,0.1749642674534972
S53,0.1675004211214568
S8,0.1649593723331396
S67,0.1648595070120819
S80,0.1646472997023545
S50,0.1630673438939611
S22,0.1601523491738939
S69,0.1576358951666091
S58,0.1525653739099468
S74,0.1433806603448259
S17,0.1416686054568822
S35,0.137335732629329
S48,0.1263968090184058
S27,0.1258858137721751
S20,0.1253171842358985
S49,0.1145507797071785
S37,0.1125929815873484
S64,0.1119036390684113
S89,0.1109764603384443
S39,0.1090865039860825
S81,0.0951223741826898
S15,0.0930011937614122
S52,0.0921302484013023
S4,0.0645040035383763
S12,0.0624136299515005
S16,0.047999070953445
S13,0.0321919272985256
