item,importance
S30,0.6097262327036796
S31,0.6049200990470142
S71,0.6020623264043798
S79,0.5867403343468718
S26,0.5867225311766825
S57,0.5844686412776252
S69,0.5627955237750479
S78,0.5603457251047489
S28,0.5507045211748051
S34,0.5493855911747345
S50,0.5488160339281417
S2,0.5481918306187596
S54,0.546415965751953
S80,0.5423926118423246
S41,0.5423450139486633
S62,0.5408215659006459
S56,0.5391371493645196
S36,0.5373853912189784
S33,0.5368663625206501
S11,0.5337598233820814
S87,0.532504094627613
S61,0.5318087454986541
S37,0.5312809492688484
S18,0.530661898731395
S77,0.5293941701813616
S68,0.5251293935238043
S90,0.519301720454253
S55,0.519243824973825
S29,0.5182059373482053
S14,0.5112070866335964
S23,0.5098814969964645
S32,0.509427821073494
S51,0.5046356472071154
S72,0.5041124639760293
S3,0.4954418335210284
S59,0.488749812377045
S88,0.4822371170314119
S46,0.4810852951294056
S58,0.47913251134931334
S89,0.4736138684067608
S76,0.46972512058854576
S85,0.4668021091758414
S43,0.45977150604600725
S39,0.45711156262029157
S67,0.45381537482998385
S22,0.45340259922100923
S70,0.45004076814635674
S24,0.44283482476675046
S63,0.4374298742181092
S9,0.4340548241534993
S73,0.42403403221561453
S66,0.41946373366765705
S10,0.41208327079329765
S44,0.41205978378627317
S40,0.41031588751589854
S20,0.4102306974626127
S74,0.4084814424892459
S84,0.4082376990557865
S6,0.40301331138189656
S49,0.4028789336847515
S75,0.40090440692308754
S7,0.3988882029914148
S83,0.392484717953911
S19,0.3858599303872282
S15,0.38208705064874243
S8,0.38135119521699873
S38,0.37992890891554904
S17,0.3793847966153538
S53,0.37753157108206375
S65,0.3754751415512689
S52,0.3747331268240655
S48,0.36868422896445024
S12,0.35866813990333557
S82,0.3583511215149236
S86,0.35564434548587526
S21,0.35415322026238316
S1,0.34982988556909617
S16,0.3470351819098267
S45,0.34604873764382793
S47,0.34060057392662335
S42,0.3396964704104207
S25,0.3390007305861839
S5,0.3064831781870201
S4,0.3053384978653108
S27,0.30374990605497215
S13,0.29710667887296555
S60,0.29702164673332443
S81,0.2953301354247382
S64,0.2886508885638708
S35,0.28786914408263625
