metric,ci_low,ci_high,bootstrap_repeats
roc_auc,0.985198442567799,0.9904187241545825,500
pr_auc,0.9367473382549097,0.9604373755563254,500
brier,0.03585286177074353,0.04450185011469604,500
sensitivity,0.7432181015197099,0.8051899413026568,500
specificity,0.9742833943268578,0.9842308365418271,500
ppv,0.879505957005957,0.9247552453419015,500
npv,0.9381218487394958,0.9541688801896355,500
top5_recall,0.2362026193516833,0.2688030704161689,500
top5_precision,0.9800847457627119,1.0,500
top5_lift,4.724052387033666,5.376061408323379,500
top10_recall,0.46955856612067237,0.5273317028685126,500
top10_precision,0.9646186440677966,0.9971751412429378,500
top10_lift,4.6955856612067235,5.273317028685127,500
top15_recall,0.6710911465008972,0.7401404279252327,500
top15_precision,0.9001883239171374,0.9548022598870056,500
top15_lift,4.473940976672648,4.934269519501552,500
top20_recall,0.8384454109657816,0.9218625057577153,500
top20_precision,0.846045197740113,0.8997175141242938,500
top20_lift,4.1922270548289085,4.609312528788577,500
top25_recall,0.9681129849533904,0.9917689340813464,500
top25_precision,0.7299435028248588,0.8225988700564971,500
top25_lift,3.8724519398135615,3.967075736325386,500
top30_recall,0.9875112782678119,0.9985725945489894,500
top30_precision,0.6143361581920904,0.696798493408663,500
top30_lift,3.2917042608927067,3.328575315163298,500
