item_count,n_repeats,roc_auc_mean,roc_auc_sd,roc_auc_p025,roc_auc_p975,pr_auc_mean,pr_auc_sd,pr_auc_p025,pr_auc_p975,top10_recall_mean,top10_recall_sd,top10_recall_p025,top10_recall_p975,top10_precision_mean,top10_precision_sd,top10_precision_p025,top10_precision_p975,top20_recall_mean,top20_recall_sd,top20_precision_mean,top20_precision_sd
5,1000,0.9669750879209945,0.006792906388570012,0.9521261014934133,0.9770532108561261,0.8702959265109171,0.021865452711092567,0.8177637207024487,0.9038903528091895,0.4775506419400856,0.010468528925811153,0.4550641940085592,0.4950071326676177,0.9456581920903955,0.020730053042354857,0.9011299435028248,0.980225988700565,0.8194094151212554,0.022423375674304434,0.8113079096045197,0.022201675632326848
10,1000,0.9851629936401427,0.002786161406285515,0.9784250308646782,0.9895354734016066,0.936885133708672,0.010585872423859024,0.9116333305987228,0.952954770267719,0.49640228245363766,0.00461147034369559,0.48502139800285304,0.5035663338088445,0.9829887005649718,0.009131753420707938,0.96045197740113,0.9971751412429378,0.8782410841654779,0.01337250704737268,0.8695579096045197,0.013240292994644418
15,1000,0.9911375878770278,0.001532773647135248,0.9877301472409716,0.9936306521805764,0.9616025451368997,0.006018089028318737,0.948262439658627,0.9715823854475324,0.5019329529243937,0.0024497048748970632,0.4964336661911555,0.5049928673323824,0.9939406779661017,0.004850969257917584,0.9830508474576272,1.0,0.9062610556348074,0.009436844372880483,0.8973008474576272,0.009343542239250314
20,1000,0.9939660699579275,0.0010639968704920743,0.9914375013504082,0.9956414539386446,0.9737089388446095,0.004220339966465115,0.9638265732309926,0.9803140214499413,0.503734664764622,0.0014653291881043821,0.4992867332382311,0.5049928673323824,0.9975084745762711,0.0029016829402857577,0.9887005649717514,1.0,0.9229857346647646,0.008318394991481667,0.9138601694915254,0.008236150973204312
30,1000,0.996704291006809,0.0006260038557465691,0.9952226012856389,0.9977414077609654,0.9855698710178249,0.002447375642962476,0.9800320185567989,0.9896247990826762,0.5047860199714694,0.0005563976844758404,0.5035663338088445,0.5049928673323824,0.999590395480226,0.001101793154851889,0.9971751412429378,1.0,0.9441098430813124,0.007056573907625653,0.9347754237288135,0.006986805521533298
