method,n_mean,n_std,positive_n_mean,positive_n_std,prevalence_mean,prevalence_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ppv_mean,ppv_std,npv_mean,npv_std,predicted_positive_rate_mean,predicted_positive_rate_std,threshold_mean,threshold_std,top5_recall_mean,top5_recall_std,top5_precision_mean,top5_precision_std,top5_lift_mean,top5_lift_std,top10_recall_mean,top10_recall_std,top10_precision_mean,top10_precision_std,top10_lift_mean,top10_lift_std,top15_recall_mean,top15_recall_std,top15_precision_mean,top15_precision_std,top15_lift_mean,top15_lift_std,top20_recall_mean,top20_recall_std,top20_precision_mean,top20_precision_std,top20_lift_mean,top20_lift_std,top25_recall_mean,top25_recall_std,top25_precision_mean,top25_precision_std,top25_lift_mean,top25_lift_std,top30_recall_mean,top30_recall_std,top30_precision_mean,top30_precision_std,top30_lift_mean,top30_lift_std
Correlation ranking,2874.2,0.447213595499977,581.6,0.8944271909999143,0.20235195304226802,0.0003048677990834699,0.9851525507540305,0.0024684582793750923,0.9494538162325308,0.006011063647915598,0.04860491544461219,0.0018067025785568939,-1.333077669724996,0.20927647880926856,0.9471524869706576,0.06884966218566632,0.9422283561019403,0.020007858540479196,0.9257605415910073,0.009482867090212972,0.7637099165578808,0.01923366203335561,0.9844781855536272,0.005208270242237633,0.2498789870200599,0.011481933852790454,0.4654686869454826,0.05084388249321328,0.2475933152323991,0.0003803261743394992,1.0,0.0,4.941893559124982,0.007435257911251519,0.48899750653335705,0.0019490848428807244,0.9902535811072397,0.0038036673529667606,4.893735810489171,0.022494133991792228,0.705990023597118,0.008476052438524713,0.9526682134570766,0.010581674478878268,4.708019872230903,0.05653432498665481,0.8638227327090542,0.010229022504450421,0.8737391304347826,0.010550087574332574,4.317911378081543,0.05108478695985786,0.9442913906489274,0.00970281498352862,0.7646913656773374,0.008169530617213273,3.7790137347284927,0.03966149033120027,0.9810872152496186,0.007298521288946986,0.6619489559164733,0.0049627029318346574,3.271275923005615,0.02413911434147502
LASSO/L1 ranking,2874.2,0.447213595499977,581.6,0.8944271909999143,0.20235195304226802,0.0003048677990834699,0.9797700967761633,0.0031569692115378653,0.9290688241244218,0.00983534563439711,0.05785925815056372,0.0027552278775990705,-1.3072035048776733,0.12901312783747365,0.8857629652085526,0.04247280372530311,0.9501410000668267,0.007062609220642456,0.9042995943663966,0.006393266889917199,0.7159936013784135,0.014213942179347155,0.9862027976672012,0.001980892723144671,0.26859660524643736,0.0048235710124912325,0.4381072164673097,0.030545489992107308,0.2475933152323991,0.0003803261743394992,1.0,0.0,4.941893559124982,0.007435257911251519,0.4862454042443403,0.0022678121935435025,0.9846762485481998,0.003130683578355079,4.866165675311048,0.017271956673576633,0.6863858153799869,0.010297582003510613,0.9262180974477958,0.013568623217831496,4.577286056721012,0.06870498666601708,0.8256570491110675,0.012124961973642672,0.8351304347826087,0.012011336799883128,4.127140370603648,0.06093972600820653,0.9195443340544266,0.015506104817771827,0.7446387546925667,0.011817120359950818,3.679968056381032,0.06189646273106096,0.9797155879369972,0.008267112674748365,0.6610208816705336,0.005213968690079874,3.266704764440168,0.02773413554937318
Mutual information ranking,2874.2,0.447213595499977,581.6,0.8944271909999143,0.20235195304226802,0.0003048677990834699,0.9835629057117066,0.0019000290950428188,0.9422235583498211,0.003851122729843401,0.05146445006336595,0.0025862440943922533,-1.335675570647215,0.1117982624910313,0.9263185806650307,0.03536265728174082,0.9515096720710462,0.014067324018850198,0.9175615231904437,0.005165607598621511,0.7455522979599118,0.011920548166331918,0.9867866205560656,0.003766101518593512,0.2582983389307434,0.005331202506311531,0.4343949132943699,0.029246822066994957,0.2475933152323991,0.0003803261743394992,1.0,0.0,4.941893559124982,0.007435257911251519,0.4872763361374878,0.002143703343443358,0.9867692605497483,0.0045411935834405925,4.876500118092906,0.021312982443382304,0.6960119609538526,0.004338018753420813,0.9392111368909513,0.005777215590714068,4.641482426008239,0.029562116885995467,0.853166242651435,0.00815603083536514,0.8629565217391304,0.008007557866588771,4.26464447262301,0.0408071241343258,0.9429120904913202,0.012689695724412043,0.7635763847187947,0.010693286578643591,3.7734898217023884,0.051059590721499945,0.9790229916805074,0.007033945990906671,0.6605568445475638,0.00489443691641043,3.2643935813146348,0.023333234142971775
