sample,n,positive_n,prevalence,low_cut_rawsum_le,high_cut_rawsum_ge,low_zone_n,middle_escalation_n,high_zone_n,accepted_n,accepted_proportion,escalation_proportion,low_zone_npv,high_zone_ppv,false_negative_low_zone_n,false_positive_high_zone_n,accepted_error_n,accepted_error_rate_all,accepted_error_rate_accepted,average_item_burden,burden_reduction_vs_90,workflow_note
mapped Hunan development group,10831,2207,0.203766965192503,13,24,7019,2335,1477,8496,0.7844151047918013,0.21558489520819868,0.9962957686280097,0.962762356127285,26,55,81,0.007478533838057428,0.009533898305084746,31.168867140614903,0.6536792539931677,15-item raw-sum first stage: low zone no immediate full form; middle zone completes full SCL-90; high zone prioritized for follow-up
mapped Shandong hold-out group,3540,701,0.1980225988700565,13,24,2659,604,277,2936,0.8293785310734463,0.17062146892655367,0.9928544565626175,0.9927797833935018,19,2,21,0.005932203389830509,0.00715258855585831,27.796610169491526,0.6911487758945386,15-item raw-sum first stage: low zone no immediate full form; middle zone completes full SCL-90; high zone prioritized for follow-up
