item,importance
S46,11.962851878237347
S61,11.57447946095825
S54,10.923816737014366
S31,10.802858555680352
S28,10.778076044243388
S55,10.668616900569672
S9,10.451773817359513
S30,10.429027421916924
S57,10.406718786478232
S11,10.405982257120394
S41,10.304968394815665
S3,9.947258657286016
S29,9.840710193565647
S86,9.74363192541078
S10,9.69767294221284
S50,9.670987962329743
S66,9.394640578285406
S26,9.381135768804908
S34,9.371228178101592
S45,9.36411873723027
S21,9.344673147857689
S38,9.315379251798879
S88,9.312511276801274
S68,9.295446997691494
S51,9.128232648285952
S84,9.114836989715853
S5,8.789948397410637
S14,8.643428104094754
S32,8.575948046256142
S79,8.513183216843302
S2,8.49150304770832
S56,8.216795270408237
S8,8.212451705234477
S87,8.200760938646178
S77,8.1985216305275
S42,8.14094100176013
S25,8.031413816648914
S85,7.9320306102450004
S18,7.908480478858315
S44,7.8800319765539255
S59,7.796125503265251
S80,7.776023135604506
S76,7.76577801971281
S60,7.680979652255282
S90,7.646564479700529
S69,7.52230781524465
S73,7.503114955011735
S6,7.440823338914346
S40,7.387376030315603
S70,7.2887672440916
S65,7.260777728900872
S36,7.258968315864187
S71,7.07656931937159
S1,7.061313797116888
S19,7.002349858475983
S39,6.943920862039941
S43,6.73870528674617
S62,6.596100856988126
S12,6.408924793322672
S58,6.321348020993843
S63,6.239402246081815
S17,6.206054289774174
S47,6.1255438609481345
S7,6.066966647074291
S53,5.967746786885813
S37,5.859877076421846
S35,5.847385982830934
S74,5.743923214989983
S75,5.730863596177049
S16,5.605034899445772
S82,5.3619586931844525
S27,5.349004994345803
S20,5.301826544711435
S89,5.117123017530668
S78,5.113275969548741
S33,5.025488041967955
S67,5.0135417531263515
S24,4.921643040351901
S83,4.706537020238132
S64,4.6365304665306475
S49,4.365664580427239
S23,4.208819079949346
S22,4.0336783625253645
S13,3.830286630013819
S4,3.5438555130670713
S72,2.994760436685183
S81,2.8218790935297076
S52,2.679287483275902
S15,2.6788631873952315
S48,2.5637107150336185
