analysis,direction,selected_items,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
"Hunan development -> Shandong validation, LASSO 15",Hunan->Shandong,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46",3540,701,0.1980225988700565,0.9879649109936542,0.9493304542145464,0.04008493010423536,0.7265654234640776,1.1817779199702334,0.7717546362339515,0.9792180345191969,0.9016666666666666,0.9455782312925171,0.1694915254237288,0.44246764723300297,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.7047075606276747,0.9303201506591338,4.698050404184499,0.8887303851640513,0.8799435028248588,4.443651925820257,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9942938659058488,0.6563088512241054,3.314312886352829
"Shandong development -> Hunan validation, LASSO 15",Shandong->Hunan,"S72,S44,S59,S41,S51,S37,S6,S90,S47,S5,S10,S17,S40,S24,S28",10831,2207,0.203766965192503,0.9806167580720141,0.9364087028221012,0.047888572433520994,-0.7425431435743124,0.5998176209919645,0.860444041685546,0.9580241187384044,0.8398938522777533,0.9640606767794633,0.2087526544178746,0.6073167683837289,0.24512913457181695,0.9981549815498155,4.898512281452674,0.48346171273221566,0.9852262234533703,4.835063537029204,0.6941549614861804,0.9427692307692308,4.626703007911889,0.841413683733575,0.8573407202216067,4.207456882972461,0.9356592659719075,0.7625553914327917,3.742291547171983,0.9669234254644313,0.6568174823022468,3.2233756913528024
