fold,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
1,2875,582,0.20243478260869566,0.9827699123134357,0.9383584994031307,0.055547398361497094,-1.4419797219652974,0.9229561495151754,0.24742268041237114,1.0,4.939862542955327,0.4896907216494845,0.9895833333333334,4.888405641466209,0.6890034364261168,0.9303944315545244,4.596020602610408,0.852233676975945,0.8626086956521739,4.261168384879725,0.9261168384879725,0.7496522948539638,3.703179291589598,0.9828178694158075,0.6635730858468677,3.277959831288221
2,2874,581,0.20215727209464163,0.9830648993081541,0.9376743298790523,0.056679958642775766,-1.4994684717800741,0.8969842978769577,0.24612736660929432,0.9930555555555556,4.912292025243833,0.48709122203098104,0.9860627177700348,4.877700948142995,0.693631669535284,0.9350348027842227,4.625284033049666,0.8347676419965576,0.8434782608695652,4.17238644017062,0.9294320137693631,0.7520891364902507,3.720317002191016,0.9845094664371773,0.6635730858468677,3.282459636357827
3,2874,581,0.20215727209464163,0.9773526853035468,0.9226734074343615,0.05955206149646696,-1.190290723364889,0.8183615176429869,0.24784853700516352,1.0,4.946643717728055,0.4853700516351119,0.9825783972125436,4.86046525574673,0.6919104991394148,0.9327146171693735,4.6138069014540095,0.8003442340791739,0.808695652173913,4.000329267380079,0.9104991394148021,0.7367688022284122,3.644532766961199,0.9776247848537005,0.6589327146171694,3.259505373166514
4,2874,581,0.20215727209464163,0.9835246537204829,0.939682576057167,0.05431661093809454,-1.4166217152491642,0.947312223498249,0.24784853700516352,1.0,4.946643717728055,0.48709122203098104,0.9860627177700348,4.877700948142995,0.693631669535284,0.9350348027842227,4.625284033049666,0.8313253012048193,0.84,4.155180722891566,0.9328743545611016,0.754874651810585,3.734095954050983,0.9862306368330465,0.6647331786542924,3.288198202155656
5,2874,583,0.20285316631871955,0.979992932296038,0.9286131060565473,0.055549419369295853,-1.2028553194017986,0.8896046700154301,0.2469982847341338,1.0,4.92967409948542,0.4888507718696398,0.9930313588850174,4.895320969872281,0.6758147512864494,0.91415313225058,4.5064770190191545,0.8164665523156089,0.8278260869565217,4.0809128197479305,0.9262435677530018,0.7520891364902507,3.7075543366603436,0.9879931389365352,0.6682134570765661,3.2940745722779607
