item,importance
S31,0.17294326650338182
S30,0.17103702594365083
S71,0.16512987449462185
S57,0.16351953425036486
S26,0.1569768425752931
S79,0.1556090067769261
S28,0.1478915612273211
S2,0.14404356813900648
S41,0.14302423314664797
S69,0.14242830792900085
S78,0.14168699907395127
S34,0.14129366304848076
S54,0.13927212582986911
S11,0.13888439332480196
S50,0.13691699901640303
S61,0.13521155487966602
S55,0.13143074966567125
S80,0.13094713891300508
S62,0.1300081127830039
S36,0.1293816068264878
S18,0.1285315363057219
S33,0.12780665331619515
S56,0.12768751197690661
S68,0.127201172789064
S37,0.12520712956184865
S87,0.12483121906527522
S77,0.12466828863787811
S14,0.12442321052216816
S29,0.1222197459767318
S90,0.12170877261548865
S32,0.11894593055892533
S3,0.11827854461511245
S51,0.11721867682861191
S72,0.1155335698581958
S46,0.11466590870975657
S23,0.11360295063157372
S88,0.10495519091074015
S59,0.10487597293822899
S58,0.10141478690679885
S89,0.10038219763090728
S85,0.09890155440122272
S76,0.09731719209450965
S9,0.0941076190345473
S43,0.09292802187822999
S39,0.09078296138332576
S67,0.08958744263923091
S22,0.0889731566818362
S70,0.08656716473100601
S24,0.08352803384174526
S10,0.0829454323645604
S63,0.0821585743943522
S73,0.07793491707941577
S66,0.0776715988445885
S44,0.07549186578780567
S40,0.0742723904958276
S84,0.07271360066178205
S74,0.07208185594800764
S20,0.07188905016916539
S6,0.07177251841005815
S49,0.07001101300650639
S7,0.06775988089528447
S75,0.06774666044896507
S8,0.06622659554836857
S38,0.06594381692719326
S15,0.065778114008723
S83,0.06536827048483786
S19,0.06470669162596156
S86,0.06362997101373963
S17,0.0618546227960022
S53,0.0616980811745372
S48,0.061567624520655895
S65,0.061248052638389304
S52,0.06113982638141488
S45,0.05927199449669621
S21,0.05747288355523749
S12,0.05599911069884647
S82,0.055497193261434104
S1,0.055043045637090046
S42,0.053036907350124354
S16,0.05226854320128928
S47,0.04982767390297788
S25,0.048604008223238036
S5,0.04291727189601968
S27,0.040898871655788926
S60,0.039952037428353196
S81,0.039507220358222246
S4,0.03944202957048655
S35,0.039071279079909
S13,0.037412618118401346
S64,0.03695384655027771
