analysis,region,gender_code,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
Shandong validation gender code 1,Shandong,1,785,167,0.21273885350318472,0.9868370056004496,0.9502823410560888,0.04145989774538891,0.5371134918586844,0.9877474082151387,0.7664670658682635,0.9724919093851133,0.8827586206896552,0.9390625,0.18471337579617833,0.44246764723300297,0.2275449101796407,0.9743589743589743,4.580070627974819,0.46107784431137727,0.9871794871794872,4.6403347151850145,0.688622754491018,0.9745762711864406,4.581092053181772,0.8143712574850299,0.8662420382165605,4.07185628742515,0.9520958083832335,0.8112244897959183,3.8132408652083583,0.9880239520958084,0.6991525423728814,3.286435603369532
Shandong validation gender code 2,Shandong,2,2755,534,0.1938294010889292,0.9884040154669337,0.9495026554943582,0.03969315166564896,0.7944044518140483,1.2514559226058126,0.7734082397003745,0.9810895992796038,0.9076923076923077,0.947391304347826,0.16515426497277677,0.44246764723300297,0.25842696629213485,1.0,5.159176029962547,0.50187265917603,0.9710144927536232,5.009634695760734,0.7134831460674157,0.9225181598062954,4.759433577277798,0.900749063670412,0.8729582577132486,4.503745318352061,0.9868913857677902,0.7648766328011611,3.9461331898262153,0.9943820224719101,0.6428571428571429,3.3166131621187804
Region-level: Shandong under Hunan-developed model,Shandong,all,3540,701,0.1980225988700565,0.9879649109936542,0.9493304542145464,0.04008493010423536,0.7265654234640776,1.1817779199702334,0.7717546362339515,0.9792180345191969,0.9016666666666666,0.9455782312925171,0.1694915254237288,0.44246764723300297,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.7047075606276747,0.9303201506591338,4.698050404184499,0.8887303851640513,0.8799435028248588,4.443651925820257,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9942938659058488,0.6563088512241054,3.314312886352829
