analysis,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift,remaining_item_threshold
Alternative cutoff: total score >160,3540,688,0.1943502824858757,0.9872521629048566,0.9457291467844184,0.04044983548377464,0.6574981836539621,1.1561727999486675,0.7892441860465116,0.9744039270687237,0.8814935064935064,0.9504103967168263,0.17401129943502824,0.40688612495898757,0.2558139534883721,0.9943502824858758,5.116279069767442,0.5058139534883721,0.9830508474576272,5.058139534883721,0.7107558139534884,0.9209039548022598,4.738372093023256,0.8909883720930233,0.865819209039548,4.454941860465116,0.9811046511627907,0.7627118644067796,3.9244186046511627,0.9941860465116279,0.6440677966101694,3.3139534883720927,
Remaining 75-item label >=59,3540,636,0.17966101694915254,0.9797885046866608,0.9058466792136616,0.047664786171278596,-0.01948690570732178,0.8394109593752006,0.7688679245283019,0.9617768595041323,0.815,0.95,0.1694915254237288,0.44246764723300297,0.2751572327044025,0.9887005649717514,5.50314465408805,0.5172955974842768,0.9293785310734464,5.172955974842767,0.7044025157232704,0.8436911487758946,4.69601677148847,0.8915094339622641,0.8008474576271186,4.4575471698113205,0.9795597484276729,0.703954802259887,3.918238993710692,0.9937106918238994,0.5951035781544256,3.3123689727463312,75-item raw sum >=59
Unweighted raw sum of selected 15 items,3540,701,0.1980225988700565,0.9860467032704751,0.9362501379258678,,,,,,,,,,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.703281027104137,0.928436911487759,4.688540180694247,0.8587731811697575,0.8502824858757062,4.293865905848787,0.9728958630527818,0.7706214689265537,3.891583452211127,0.9942938659058488,0.6563088512241054,3.314312886352829,
