analysis,low_cut_rawsum_le,high_cut_rawsum_ge,is_selected_pair,development_low_zone_npv,development_high_zone_ppv,development_accepted_error_rate_all,development_escalation_proportion,development_average_item_burden,holdout_low_zone_npv,holdout_high_zone_ppv,holdout_accepted_error_rate_all,holdout_escalation_proportion,holdout_average_item_burden,holdout_false_negative_low_zone_n,holdout_false_positive_high_zone_n,interpretation
low-threshold trade-off with high threshold fixed,11,24,False,0.9988869454603275,0.962762356127285,0.005724309851352599,0.28298402732896316,36.22380204967224,0.9983870967741936,0.9927797833935018,0.001694915254237288,0.2211864406779661,31.588983050847457,4,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
low-threshold trade-off with high threshold fixed,12,24,False,0.9979076371244956,0.962762356127285,0.006370602899085957,0.24586834087341888,33.44012556550641,0.9961225281116712,0.9927797833935018,0.003389830508474576,0.19322033898305085,29.491525423728813,10,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
low-threshold trade-off with high threshold fixed,13,24,True,0.9962957686280097,0.962762356127285,0.007478533838057428,0.21558489520819868,31.168867140614903,0.9928544565626175,0.9927797833935018,0.005932203389830509,0.17062146892655367,27.796610169491526,19,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
low-threshold trade-off with high threshold fixed,14,24,False,0.9942701227830832,0.962762356127285,0.008955775090019389,0.18687101837318806,29.015326377989105,0.9821882951653944,0.9927797833935018,0.01440677966101695,0.14463276836158193,25.847457627118644,49,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
high-threshold trade-off with low threshold fixed,13,23,False,0.9962957686280097,0.9478584729981379,0.010156033607238482,0.20321299972301726,30.240974979226294,0.9928544565626175,0.9933993399339934,0.005932203389830509,0.16327683615819208,27.24576271186441,19,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
high-threshold trade-off with low threshold fixed,13,24,True,0.9962957686280097,0.962762356127285,0.007478533838057428,0.21558489520819868,31.168867140614903,0.9928544565626175,0.9927797833935018,0.005932203389830509,0.17062146892655367,27.796610169491526,19,2,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
high-threshold trade-off with low threshold fixed,13,25,False,0.9962957686280097,0.9786259541984733,0.004985689225371619,0.23100360077555165,32.325270058166375,0.9928544565626175,0.996,0.005649717514124294,0.17824858757062148,28.36864406779661,19,1,Nearby thresholds trade lower burden against low-zone NPV/high-zone PPV; the selected pair is not a transportable cut-off without local recalibration.
