capacity_percent,students_reviewed,coverage_recall_point_percent,coverage_recall_95ci_low_percent,coverage_recall_95ci_high_percent,screen_positive_rate_point_percent,screen_positive_rate_95ci_low_percent,screen_positive_rate_95ci_high_percent,lift_point,lift_95ci_low,lift_95ci_high,bootstrap_repeats,note
5,177,25.106990014265335,23.62026193516833,26.88030704161689,99.43502824858757,98.00847457627118,100.0,5.021398002853068,4.724052387033666,5.376061408323379,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
10,354,49.78601997146933,46.95585661206724,52.73317028685126,98.58757062146893,96.46186440677967,99.71751412429379,4.978601997146933,4.6955856612067235,5.273317028685127,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
15,531,70.47075606276746,67.10911465008972,74.01404279252327,93.03201506591337,90.01883239171374,95.48022598870057,4.698050404184499,4.473940976672648,4.934269519501552,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
20,708,88.87303851640513,83.84454109657817,92.18625057577154,87.99435028248588,84.6045197740113,89.97175141242938,4.443651925820257,4.1922270548289085,4.609312528788577,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
25,885,98.14550641940085,96.81129849533903,99.17689340813463,77.74011299435028,72.99435028248588,82.25988700564972,3.9258202567760345,3.8724519398135615,3.967075736325386,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
30,1062,99.42938659058488,98.75112782678119,99.85725945489894,65.63088512241055,61.433615819209045,69.6798493408663,3.314312886352829,3.2917042608927067,3.328575315163298,500,Nonparametric validation bootstrap conditional on the fixed 15-item operational example
