ranking_source,selected_items,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
Archived operational LASSO/L1 ranking,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46",3540,701,0.1980225988700565,0.9879649109936542,0.9493304542145464,0.04008493010423536,0.7265654234640776,1.1817779199702334,0.7717546362339515,0.9792180345191969,0.9016666666666666,0.9455782312925171,0.1694915254237288,0.44246764723300297,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.7047075606276747,0.9303201506591338,4.698050404184499,0.8887303851640513,0.8799435028248588,4.443651925820257,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9942938659058488,0.6563088512241054,3.314312886352829
Current-environment algorithmic LASSO/L1 rerun,"S61,S9,S34,S10,S28,S46,S41,S2,S51,S31,S30,S85,S84,S68,S88",3540,701,0.1980225988700565,0.9884912561383903,0.9524894350410755,0.041087325399933684,0.9704343713443077,1.2042838073631787,0.891583452211127,0.9704121169425854,0.8815232722143864,0.9731543624161074,0.2002824858757062,0.3101735365447834,0.2524964336661912,1.0,5.049928673323823,0.4992867332382311,0.9887005649717514,4.992867332382311,0.703281027104137,0.928436911487759,4.688540180694247,0.891583452211127,0.882768361581921,4.457917261055635,0.9843081312410842,0.7796610169491526,3.9372325249643367,0.9942938659058488,0.6563088512241054,3.314312886352829
