metric,ci_low,ci_high,bootstrap_repeats
accepted_proportion,0.8152542372881356,0.8413912429378531,500
escalation_proportion,0.1586087570621469,0.1847457627118644,500
low_zone_npv,0.9898866581332959,0.9958465794130856,500
high_zone_ppv,0.9814453393914361,1.0,500
accepted_error_rate_all,0.003672316384180791,0.008192090395480226,500
accepted_error_rate_accepted,0.00437136308576586,0.009901332748652325,500
average_item_burden,26.895656779661017,28.85593220338983,500
burden_reduction_vs_90,0.6793785310734464,0.7011593691148776,500
