method,selected_items,roc_auc,pr_auc,brier,sensitivity,specificity,top10_recall,top10_precision
LightGBM gain ranking + logistic 15-item set,"S30,S71,S31,S26,S79,S57,S61,S69,S18,S2,S56,S28,S68,S34,S78",0.9914920515602176,0.9646160302989453,0.02904491713210325,0.948644793152639,0.9651285663966185,0.5007132667617689,0.9915254237288136
XGBoost contribution-score ranking + logistic 15-item set,"S30,S26,S71,S31,S79,S57,S61,S68,S18,S56,S87,S69,S2,S28,S50",0.991230009562146,0.9638492519089107,0.029076834813952863,0.9044222539229672,0.9760479041916168,0.4992867332382311,0.9887005649717514
